Description: CO2 (13K)
      freq [cm-1]    absorbance      imag pt (k)       real pt (n)
       485.25810       0.0000000  -4.0000000e-06       1.2614440
       485.49920       0.0000000  -8.0000000e-06       1.2614890
       485.74020       0.0000000  -7.0000000e-06       1.2615150
       485.98130       0.0000000  -3.0000000e-06       1.2615590
       486.22240       0.0000000  -1.0000000e-06       1.2615780
       486.46340       0.0000000  -7.0000000e-06       1.2616200
       486.70450       0.0000000  -4.0000000e-06       1.2616500
       486.94560       0.0000000       0.0000000       1.2616860
       487.18660       0.0000000  -8.0000000e-06       1.2617110
       487.42770       0.0000000  -4.0000000e-06       1.2617600
       487.66880       0.0000000  -1.0000000e-06       1.2617830
       487.90980       0.0000000   3.0000000e-06       1.2618220
       488.15090       0.0000000  -5.0000000e-06       1.2618430
       488.39190       0.0000000  -1.0000000e-06       1.2618940
       488.63300       0.0000000   1.0000000e-06       1.2619100
       488.87410       0.0000000  -5.0000000e-06       1.2619560
       489.11510       0.0000000  -2.0000000e-06       1.2619810
       489.35620       0.0000000  -7.0000000e-06       1.2620220
       489.59720       0.0000000  -7.0000000e-06       1.2620550
       489.83830       0.0000000  -2.0000000e-06       1.2620940
       490.07940       0.0000000  -8.0000000e-06       1.2621240
       490.32040       0.0000000   5.0000000e-06       1.2621640
       490.56150       0.0000000  -1.2000000e-05       1.2621810
       490.80260       0.0000000  -8.0000000e-06       1.2622430
       491.04360       0.0000000  -4.0000000e-06       1.2622610
       491.28470       0.0000000  -1.0000000e-06       1.2623120
       491.52580       0.0000000   1.0000000e-06       1.2623260
       491.76680       0.0000000  -5.0000000e-06       1.2623760
       492.00790       0.0000000  -2.0000000e-06       1.2623980
       492.24890       0.0000000  -8.0000000e-06       1.2624450
       492.49000       0.0000000  -6.0000000e-06       1.2624760
       492.73100       0.0000000  -1.0000000e-06       1.2625180
       492.97210       0.0000000  -8.0000000e-06       1.2625420
       493.21320       0.0000000  -4.0000000e-06       1.2625960
       493.45420       0.0000000  -1.0000000e-06       1.2626130
       493.69530       0.0000000  -8.0000000e-06       1.2626630
       493.93640       0.0000000  -4.0000000e-06       1.2626930
       494.17740       0.0000000      -0.0000000       1.2627380
       494.41850       0.0000000   1.0000000e-06       1.2627590
       494.65950       0.0000000  -3.0000000e-06       1.2628020
       494.90060       0.0000000  -1.0000000e-05       1.2628320
       495.14170       0.0000000  -7.0000000e-06       1.2628850
       495.38280       0.0000000  -4.0000000e-06       1.2629120
       495.62380       0.0000000      -0.0000000       1.2629560
       495.86490       0.0000000  -7.0000000e-06       1.2629810
       496.10590       0.0000000  -2.0000000e-06       1.2630350
       496.34700       0.0000000       0.0000000       1.2630570
       496.58800       0.0000000   4.0000000e-06       1.2631040
       496.82910       0.0000000  -4.0000000e-06       1.2631200
       497.07020       0.0000000  -8.0000000e-06       1.2631790
       497.31120       0.0000000  -5.0000000e-06       1.2632020
       497.55230       0.0000000  -1.0000000e-05       1.2632550
       497.79340       0.0000000  -9.0000000e-06       1.2632840
       498.03440       0.0000000  -4.0000000e-06       1.2633380
       498.27550       0.0000000  -2.0000000e-06       1.2633560
       498.51650       0.0000000  -6.0000000e-06       1.2634100
       498.75760       0.0000000  -4.0000000e-06       1.2634320
       498.99870       0.0000000  -8.0000000e-06       1.2634860
       499.23970       0.0000000  -7.0000000e-06       1.2635100
       499.48080       0.0000000  -1.1000000e-05       1.2635700
       499.72190       0.0000000   1.0000000e-06       1.2635940
       499.96290       0.0000000  -4.0000000e-06       1.2636420
       500.20400       0.0000000  -2.0000000e-06       1.2636670
       500.44500       0.0000000  -7.0000000e-06       1.2637200
       500.68610       0.0000000  -4.0000000e-06       1.2637460
       500.92720       0.0000000  -1.0000000e-05       1.2638030
       501.16820       0.0000000   3.0000000e-06       1.2638280
       501.40930       0.0000000  -1.1000000e-05       1.2638760
       501.65040       0.0000000      -0.0000000       1.2639140
       501.89140       0.0000000  -4.0000000e-06       1.2639550
       502.13250       0.0000000  -2.0000000e-06       1.2639930
       502.37350       0.0000000   2.0000000e-06       1.2640350
       502.61460       0.0000000  -4.0000000e-06       1.2640670
       502.85570       0.0000000      -0.0000000       1.2641160
       503.09670       0.0000000  -6.0000000e-06       1.2641460
       503.33780       0.0000000  -2.0000000e-06       1.2642020
       503.57890       0.0000000      -0.0000000       1.2642260
       503.81990       0.0000000  -5.0000000e-06       1.2642790
       504.06100       0.0000000  -2.0000000e-06       1.2643090
       504.30200       0.0000000  -6.0000000e-06       1.2643600
       504.54310       0.0000000  -4.0000000e-06       1.2643930
       504.78410       0.0000000  -8.0000000e-06       1.2644430
       505.02520       0.0000000  -6.0000000e-06       1.2644820
       505.26630       0.0000000  -1.0000000e-06       1.2645270
       505.50740       0.0000000  -8.0000000e-06       1.2645600
       505.74840       0.0000000  -4.0000000e-06       1.2646130
       505.98950       0.0000000  -9.0000000e-06       1.2646460
       506.23050       0.0000000  -4.0000000e-06       1.2647030
       506.47160       0.0000000  -3.0000000e-06       1.2647340
       506.71260       0.0000000   3.0000000e-06       1.2647850
       506.95370       0.0000000  -4.0000000e-06       1.2648120
       507.19480       0.0000000   1.0000000e-06       1.2648730
       507.43590       0.0000000   4.0000000e-06       1.2648960
       507.67690       0.0000000  -1.0000000e-06       1.2649480
       507.91800       0.0000000  -7.0000000e-06       1.2649810
       508.15900       0.0000000  -3.0000000e-06       1.2650430
       508.40010       0.0000000  -1.0000000e-06       1.2650680
       508.64110       0.0000000  -5.0000000e-06       1.2651260
       508.88220       0.0000000  -2.0000000e-06       1.2651560
       509.12330       0.0000000  -6.0000000e-06       1.2652130
       509.36430       0.0000000  -3.0000000e-06       1.2652450
       509.60540       0.0000000  -8.0000000e-06       1.2653000
       509.84650       0.0000000  -5.0000000e-06       1.2653400
       510.08750       0.0000000       0.0000000       1.2653890
       510.32860       0.0000000  -7.0000000e-06       1.2654240
       510.56960       0.0000000  -1.0000000e-06       1.2654830
       510.81070       0.0000000       0.0000000       1.2655120
       511.05180       0.0000000  -4.0000000e-06       1.2655640
       511.29280       0.0000000  -1.0000000e-05       1.2656070
       511.53390       0.0000000   5.0000000e-06       1.2656650
       511.77500       0.0000000  -2.0000000e-06       1.2656860
       512.01610       0.0000000  -5.0000000e-06       1.2657510
       512.25710       0.0000000  -3.0000000e-06       1.2657810
       512.49820       0.0000000  -7.0000000e-06       1.2658410
       512.73920       0.0000000  -5.0000000e-06       1.2658800
       512.98030       0.0000000       0.0000000       1.2659340
       513.22130       0.0000000  -6.0000000e-06       1.2659670
       513.46240       0.0000000  -1.0000000e-06       1.2660270
       513.70350       0.0000000  -7.0000000e-06       1.2660590
       513.94450       0.0000000  -2.0000000e-06       1.2661220
       514.18560       0.0000000  -9.0000000e-06       1.2661510
       514.42660       0.0000000  -4.0000000e-06       1.2662220
       514.66770       0.0000000  -1.0000000e-06       1.2662470
       514.90880       0.0000000  -5.0000000e-06       1.2663120
       515.14980       0.0000000  -1.0000000e-06       1.2663430
       515.39090       0.0000000  -5.0000000e-06       1.2664050
       515.63200       0.0000000  -3.0000000e-06       1.2664420
       515.87300       0.0000000   2.0000000e-06       1.2665010
       516.11410       0.0000000  -3.0000000e-06       1.2665270
       516.35520       0.0000000  -9.0000000e-06       1.2665970
       516.59620       0.0000000  -4.0000000e-06       1.2666320
       516.83730       0.0000000  -8.0000000e-06       1.2666980
       517.07830       0.0000000   3.0000000e-06       1.2667350
       517.31940       0.0000000      -0.0000000       1.2667860
       517.56040       0.0000000  -5.0000000e-06       1.2668270
       517.80150       0.0000000  -1.0000000e-06       1.2668870
       518.04260       0.0000000  -7.0000000e-06       1.2669250
       518.28360       0.0000000  -2.0000000e-06       1.2669890
       518.52470       0.0000000  -8.0000000e-06       1.2670230
       518.76570       0.0000000  -3.0000000e-06       1.2670940
       519.00680       0.0000000      -0.0000000       1.2671240
       519.24790       0.0000000  -3.0000000e-06       1.2671860
       519.48900       0.0000000  -9.0000000e-06       1.2672240
       519.73000       0.0000000  -4.0000000e-06       1.2672970
