theta_i_degrees,n0_to_n0p50,n0_to_n0p55,n0_to_n0p60,n0_to_n0p65,n0_to_n0p70,n0_to_n0p75,n0_to_n0p80,n0_to_n0p85,n0_to_n0p90,n0_to_n0p95,n0_to_n1p00,n0_to_n1p05,n0_to_n1p10,n0_to_n1p15,n0_to_n1p20,n0_to_n1p25,n0_to_n1p30,n0_to_n1p35,n0_to_n1p40,n0_to_n1p45,n0_to_n1p50,n0_to_n1p55,n0_to_n1p60,n0_to_n1p65,n0_to_n1p70,n0_to_n1p75,n0_to_n1p80,n0_to_n1p85,n0_to_n1p90,n0_to_n1p95,n0_to_n2p00
10.742364236423644,4.235909895769596,4.449751061510653,4.678896286573112,4.924667106342093,5.188496674492479,5.471931882565712,5.776631581079852,6.104358833984062,6.456964299715033,6.836356700998402,7.244454847933824,7.683113747551065,8.154014937908979,8.658508394767852,9.197390455832464,9.770599882923191,10.376813846044632,11.012929821028306,11.673432305572243,12.349670815532715,13.029124642784831,13.694804626734886,14.325036733169737,14.893957901456368,15.373068844521548,15.734042152578107,15.952612653857921,16.012836953352203,15.910547378384834,15.654791731436848,15.266621757094205
10.751345134513453,4.239415978717616,4.453434838192031,4.68277058826435,4.928745894440283,5.192795141085536,5.476466554554842,5.781420424939776,6.109421356518542,6.462321637676222,6.842031688889995,7.250472048315129,7.689499421197058,8.160796921655066,8.665715842131215,9.205053379040043,9.778748414796727,10.385477117609954,11.022134329773039,11.683199639048224,12.360014612697924,13.0400467492328,13.706290567625688,14.337050924028588,14.906439438918587,15.385929166826168,15.747166086716145,15.965864026243182,16.02606882032407,15.923615289712245,15.66756708449749,15.279002102277973
10.760326032603261,4.24292197321422,4.457118523673174,4.686644796092757,4.93282458616196,5.1970935090182,5.481001125933164,5.7862091667038245,6.114483776103922,6.4676788726751955,6.847706574904011,7.256489149315274,7.695884999745139,8.16757881680828,8.672923210110815,9.212716235273135,9.786896895746318,10.394140358204082,11.031338831274127,11.692966991947367,12.370358456902293,13.05096892759614,13.71777659666288,14.349065202288095,14.918921035851499,15.398789483200437,15.76028990486353,15.97911512764784,16.03930022573057,15.93668253180059,15.680341567052755,15.291381404312009
10.769306930693071,4.246427879185186,4.460802117877423,4.6905189099792945,4.936903181425786,5.201391778207003,5.485535596615332,5.79099780628513,6.119546092652298,6.473036004623689,6.853381358952718,7.262506150848228,7.70227048311249,8.174360623290923,8.68013049863642,9.220379024471798,9.795045325725532,10.402803567797546,11.040543325522265,11.702734364282657,12.380702348180677,13.061891177926425,13.729262713902006,14.36107956798432,14.931402692235581,15.411649793521905,15.773413606742917,15.99236595759532,16.052531168873184,15.949749103737544,15.693115178014805,15.30375966199078
10.77828782878288,4.249933696556293,4.464485620728122,4.694392929844913,4.940981680150429,5.2056899485684855,5.490069966516,5.795786343596818,6.124608306075763,6.478393033433433,6.859056040948374,7.268523052827958,7.708655871216283,8.181142341025282,8.68733770763778,9.228041746576075,9.803193704687923,10.411466746360858,11.04974781250813,11.712501756067054,12.3910462865679,13.072813500275219,13.740748919398559,14.373094021153197,14.943884408051103,15.424510097667765,15.78653719207647,16.005616515608377,16.065761649052515,15.96281500460986,15.705887916294943,15.316136874108025
10.78726872687269,4.253439425253318,4.468169032148612,4.698266855610568,4.945060082254549,5.209988020019175,5.494604235549814,5.800574778552007,6.129670416286403,6.48374995901615,6.8647306208032335,7.274539855168417,7.715041163973682,8.18792396993363,8.69454483704464,9.235704401525988,9.811342032587032,10.420129893864516,11.05895229222239,11.722269167313511,12.401390272098796,13.08373589469404,13.752235213207976,14.385108561830554,14.956366183278124,15.437370395514854,15.799660660585785,16.018866801209025,16.078991665568346,15.975880233503377,15.718659780803597,15.328513039456723
10.796249624962497,4.25694506520204,4.471852352062234,4.702140687197207,4.949138387656806,5.214285992475603,5.499138403631425,5.805363111063814,6.134732423196299,6.489106781283553,6.870405098429544,7.28055655778355,7.721426361301848,8.194705509938242,8.701751886786743,9.243366989261562,9.819490309376398,10.428793010279023,11.068156764655711,11.732036598034986,12.41173430480816,13.0946583612344,13.763721595385638,14.397123190052122,14.968848017896498,15.450230686939689,15.812784011991987,16.032116813918616,16.092221217719608,15.988944789503044,15.731430770450318,15.340888156829113
10.805230523052307,4.260450616328234,4.475535580392329,4.706014424525786,4.953216596275857,5.218583865854301,5.503672470675473,5.810151341045356,6.139794326717527,6.49446350014736,6.876079473739549,7.286573160587306,7.727811463117923,8.201486960961375,8.708958856793807,9.251029509722807,9.827638535009546,10.43745609557486,11.077361229798749,11.74180404824441,12.422078384730803,13.105580899947764,13.775208065986872,14.409137905853491,14.981329911885881,15.463090971818414,15.825907246015655,16.045366553257775,16.105450304804396,16.002008671692902,15.7442008841438,15.353262225016694
10.814211421142115,4.2639560785576744,4.4792187170622295,4.709888067517248,4.95729470803036,5.222881640071788,5.508206436596595,5.814939468409734,6.144856126762156,6.499820115519269,6.881753746645475,7.292589663493605,7.7341964693390475,8.208268322925276,8.716165746995541,9.258691962849715,9.83578670943999,10.446119149722497,11.086565687642143,11.751571517954709,12.432422511901486,13.116503510885586,13.786694625066936,14.42115270927015,14.993811865225693,15.475951250026831,15.839030362376834,16.058616018746417,16.11867892611994,16.015071879156064,15.756970120791845,15.365635242810189
10.823192319231925,4.267461451816141,4.482901761995281,4.7137616160925475,4.96137272283897,5.2271793150445935,5.512740301309437,5.819727493070062,6.149917823242262,6.505176627310991,6.88742791705956,7.298606066416389,7.740581379882356,8.215049595752195,8.723372557321664,9.266354348582285,9.843934832621237,10.454782172692411,11.095770138176533,11.761339007178814,12.442766686354997,13.127426194099293,13.798181272681065,14.433167600337503,15.006293877895185,15.488811521440406,15.852153360795068,16.071865209903777,16.13190708096266,16.028134410974765,15.769738479301429,15.378007208999621
